id,name,type,area,description,tags,mood,lat,lng,estimated_cost,rating,popularity,url
tg_third_wave_coffee,Third Wave Coffee,cafe,Andheri,"cafe, coffee in Andheri. Specific cafe name, likely a real venue",cafe; coffee,chill; fun,19.1059439,72.8260163,300,3.5,63,https://www.google.com/maps/search/?api=1&query=19.1059439%2C72.8260163%20(Third%20Wave%20Coffee)
tg_mystery_rooms,Mystery Rooms,activity,Bandra,escape_room in Bandra. Well-known escape room venue in Mumbai,escape_room,fun; adventure,19.1352883,72.8324442,800,4.5,81,https://www.google.com/maps/search/?api=1&query=19.1352883%2C72.8324442%20(Mystery%20Rooms)
tg_smaaash,Smaaash,activity,Bandra,"arcade, gaming in Bandra. Well-known entertainment arcade in Mumbai",arcade; gaming,fun; adventure,19.0045184,72.8260877,600,4.5,81,https://www.google.com/maps/search/?api=1&query=19.0045184%2C72.8260877%20(Smaaash)
curated_della_adventure_lonavala,Della Adventure Lonavala,activity,Lonavala,"adventure, zip_line, paintball in Lonavala. Popular hangout activity for groups.",adventure; zip_line; paintball,adventure; fun,18.754,73.408,1500,4.3,85,https://www.google.com/maps/search/?api=1&query=18.754%2C73.408%20(Della%20Adventure%20Lonavala)
curated_delta_force_paintball_panvel,Delta Force Paintball Panvel,activity,Panvel,"paintball, adventure in Panvel. Popular hangout activity for groups.",paintball; adventure,adventure; fun,18.994,73.119,1000,4.1,74,https://www.google.com/maps/search/?api=1&query=18.994%2C73.119%20(Delta%20Force%20Paintball%20Panvel)
curated_ngma_mumbai,NGMA Mumbai,activity,Fort,"gallery, art, museum in Fort. Popular hangout activity for groups.",gallery; art; museum,chill; romantic,18.9306,72.8308,150,4.2,74,https://www.google.com/maps/search/?api=1&query=18.9306%2C72.8308%20(NGMA%20Mumbai)
curated_kala_ghoda_art_precinct,Kala Ghoda Art Precinct,activity,Fort,"gallery, art in Fort. Popular hangout activity for groups.",gallery; art,chill; romantic,18.9322,72.8327,200,4.3,85,https://www.google.com/maps/search/?api=1&query=18.9322%2C72.8327%20(Kala%20Ghoda%20Art%20Precinct)
curated_nehru_science_centre_worli,Nehru Science Centre Worli,activity,Worli,"museum, science in Worli. Popular hangout activity for groups.",museum; science,fun; chill,19.018,72.8215,200,4.2,78,https://www.google.com/maps/search/?api=1&query=19.018%2C72.8215%20(Nehru%20Science%20Centre%20Worli)
curated_dr_bhau_daji_lad_museum,Dr Bhau Daji Lad Museum,activity,Byculla,museum in Byculla. Popular hangout activity for groups.,museum,chill; romantic,18.9784,72.8347,150,4.4,82,https://www.google.com/maps/search/?api=1&query=18.9784%2C72.8347%20(Dr%20Bhau%20Daji%20Lad%20Museum)
curated_chhatrapati_shivaji_maharaj_vastu_sangrahalaya,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,activity,Fort,museum in Fort. Popular hangout activity for groups.,museum,chill; romantic,18.9268,72.8326,200,4.5,92,https://www.google.com/maps/search/?api=1&query=18.9268%2C72.8326%20(Chhatrapati%20Shivaji%20Maharaj%20Vastu%20Sangrahalaya)
curated_laser_tag_zone_andheri,Laser Tag Zone Andheri,activity,Andheri West,"laser_tag, gaming in Andheri West. Popular hangout activity for groups.",laser_tag; gaming,fun; adventure,19.134,72.831,500,4,70,https://www.google.com/maps/search/?api=1&query=19.134%2C72.831%20(Laser%20Tag%20Zone%20Andheri)
curated_vr_world_juhu,VR World Juhu,activity,Juhu,"vr, gaming in Juhu. Popular hangout activity for groups.",vr; gaming,fun; adventure,19.104,72.828,600,4,72,https://www.google.com/maps/search/?api=1&query=19.104%2C72.828%20(VR%20World%20Juhu)
curated_chaos_andheri,Chaos Andheri,activity,Andheri West,"pub, gaming, sports_bar in Andheri West. Popular hangout activity for groups.",pub; gaming; sports_bar,fun,19.135,72.827,700,4.1,80,https://www.google.com/maps/search/?api=1&query=19.135%2C72.827%20(Chaos%20Andheri)
curated_creeda_bandra,Creeda Bandra,activity,Bandra West,"board_game, gaming in Bandra West. Popular hangout activity for groups.",board_game; gaming,fun; chill,19.061,72.834,500,4.3,80,https://www.google.com/maps/search/?api=1&query=19.061%2C72.834%20(Creeda%20Bandra)
curated_board_game_bash_andheri,Board Game Bash Andheri,activity,Andheri West,"board_game, gaming, cafe in Andheri West. Popular hangout activity for groups.",board_game; gaming; cafe,fun; chill,19.129,72.834,400,4.2,78,https://www.google.com/maps/search/?api=1&query=19.129%2C72.834%20(Board%20Game%20Bash%20Andheri)
curated_prithvi_theatre_juhu,Prithvi Theatre Juhu,activity,Juhu,"theatre, live_show in Juhu. Popular hangout activity for groups.",theatre; live_show,chill; romantic; fun,19.1087,72.8266,300,4.5,92,https://www.google.com/maps/search/?api=1&query=19.1087%2C72.8266%20(Prithvi%20Theatre%20Juhu)
curated_ncpa_nariman_point,NCPA Nariman Point,activity,Nariman Point,"music, live_show, theatre in Nariman Point. Popular hangout activity for groups.",music; live_show; theatre,chill; romantic,18.9269,72.8193,500,4.5,90,https://www.google.com/maps/search/?api=1&query=18.9269%2C72.8193%20(NCPA%20Nariman%20Point)
curated_the_habitat_khar,The Habitat Khar,activity,Khar,"comedy, live_show, music in Khar. Popular hangout activity for groups.",comedy; live_show; music,fun; chill,19.071,72.836,600,4.3,86,https://www.google.com/maps/search/?api=1&query=19.071%2C72.836%20(The%20Habitat%20Khar)
curated_canvas_laugh_club_lower_parel,Canvas Laugh Club Lower Parel,activity,Lower Parel,"comedy, live_show in Lower Parel. Popular hangout activity for groups.",comedy; live_show,fun; chill,19.001,72.829,500,4.4,88,https://www.google.com/maps/search/?api=1&query=19.001%2C72.829%20(Canvas%20Laugh%20Club%20Lower%20Parel)
curated_esselworld_gorai,EsselWorld Gorai,activity,Borivali,"theme_park, water_park in Borivali. Popular hangout activity for groups.",theme_park; water_park,fun; adventure,19.235,72.799,1200,3.8,80,https://www.google.com/maps/search/?api=1&query=19.235%2C72.799%20(EsselWorld%20Gorai)
